Bosire
Henry
Nyayo_plaza
Sportview_House
Atrani
Diamond
Go_steel
Imme Trader
Jengwa
Luna
Maz
Mazari
Mexico
Njonde
Point
Protus
Tabernacle
Tropical
#N/A
Adelaide
Africana
Alex
Alexender_The_Great
Algo
Annabelle
Assurant_Apt
Bliss_Breeze
Block_B
Block_C
Breed_towers
Brown_Tires
Cedar_Hub
Charlies_Apt
Chemworld
Colllins
Convenient
Crystal
DIBS_COURT
Dan
Emah_House
Fauna
Favour
Flora
High_View_Apt
Imara
Isabelle
Jemoh
Jochri
Judea
Koi
Kokan
Kwa_Mathe
Leeds
Light_Court
Magina_house
Maji_house
Marriott
Matt
Mirabelle
Muga
Muriiki
Mwangi
Nduati_House
Nyanam_Plaza
Oriental
Parkside
Recan
Reign
Ring_Apartment
Rodan
Roman
Step
Tex
The Moon
Travertine
Upper_West
Vista
Vitamin_sea
Zilla_house
kairu
Benca_Two
Imani_hse
Infinity
Jalaan_house
Kalyet
Purfra_plaza
Richwood
River_line
Sun_Gate
city_shine
After lukas
Fair Deal
Karura
Kiigu
Lukas
Mandarin
Mantis
Mwanzo
Netflix
Arch_Apt
Karoe
Benca_Plaza
Eber
Kerio
Omwami
Sansilo flat
Savanna
Watergate
Yellow_Nine
California_Plaza
Congo
Corner_Hse
Domis
Emirates
Limpopo
Linah
Lolwe_PoP
Machifu
Masawide
Mugumo
Mumias
Nabongo
Paradise
Savo_Point
Shani
Super_Power
Visa
Wilma
Excella
Izzy
Karanja
Liverpool
Mv_Sarah
Oasis
Oasis_park
Sayari
Serenity
Changamwe
Davies_Court
Fullfiment_Centre
Galaxy
Gordon's_plaza
Leon
Likoni
Lillian
MPM_Ebernezzar
Mwakaki
New_Hope
Norman
Owen
Tash
Wawira
Bazuu
Boom
Collo
Dakota
Delhi
Ekwan
Freitaz
Michigan
Mwema
Polar_park
Redeemed
Reflective
Roselyn
Shelter_Bridge
Solex
Starshine
Taalam
Tiva
Winners
wyse
#N/A
Anima_house
Hezron
KAG
Kentucky
Krane
Ringo
Bermuda
Classic_Apt
Erosa
Hadid
Jani
Juventus
Lesca
Lucky
Melissa
N N
Sultan
Trafford
Tribute
Uncle_Morry
Wananchi
kipawa
Castro
Fedha
Green_Hse
Hiuhu
Hurley
Kabiru
Maverick
Nuru_Aprt
Boston
Edmerc_Apartment
Habakkuk
Naija
#N/A
Bless_apt
Diavick Plaza
Disney
Kenya
Kims_Apt
Mgas
Nams
Pillar
sweet_home
Ajab
Altro
Bethel
Burudi_hse
Crown
Day_Care
Golf_Court
Joy_house
Milton
Muchema_plaza
Nessy
Samflo
Swan
Tivori
Ajab
Altro
Bethel
Burudi_hse
Crown
Day_Care
Golf_Court
Joy_house
Milton
Muchema_plaza
Nessy
Samflo
Swan
Tivori
Brosmir
Double_F
Dream
Ebernezza plaza
Glory
Joandu_Two
Kandogo
Green_Court
Happy_Day
Linet_Hse
#N/A
Bruno
Cathy_Snow_plaza
Drimm_House
Duke
Gallacher
Kihiko
Muuguki
Pool_Apt
Promise
Ruth
Telaviv
#N/A
Ace_Apt
Everest
Keb
Ledon_hse
Namamu_house
Romasaso
Tiira_house
Village_Apt
Wings
