Afra
Aljazer
Aim_Plaza
Allana
Amkin_Hse
Cool_Palace
Crispy
ELP
Ellykim
Gichagi
Gifted_hands
Githurai_Complex
Goshen
Grey_House
Joppa
Karahari
Mac_Williams
Market
Muguga
New_Vision
New_York
North_Gate
Nyamira
O-King_Hse
Phimani
Rafiki
Stepa
Wagithus
Wendy_A
Wendy_B
equitor
Airforce_1
Airforce_2
Cupcake
Desron
Gatura
Jays_Hse
Jeisa_Hse
Mac_Hse
Marshall
Mawingu_Suite
Mount_Zion
Mutua
Njoki_Hse
Pillar
Rest_Hse_1
Rest_Hse_2
Stanmart
Stateline
Keerok
Luda
Muujiza
P.H.M
Trinity_B
Blessings_Hse
Block_A
Block_B
Corner_B
Eshiganawa
Gimwas
Grace_A
Grace_B
Green_Golf
Javia
Joem_Investment
Jomimat_Hse
Joy_Hse
Jumil_Plaza
Jupiter
Kagiwamwa
Kent_Hse
Legacy_Hse
Milan
Min_Sylvia
Mucheru
Neema_flats
Ngawa
P.H.M_2
Pajeta
Panthas
Peace_Hse
Philadelphia
Pink_Hse
Pithmar
Purple(Plot_7)
Rejoice_Apt
Riverside
Ruthline
Security_Dairy
Skyline
Space_House
Stepmil
Sueluis
Summit_Plaza
Trinity_A
W_Plaza
Wish
Yellow_Hse
Yokohama
Wa_Linet
Americana
Brixton
Camp_Joy
Capricon
Cool_Breeze
Expression
Green_Gate_B
Hezpa
Katty_Hse
Latitude
Member
Moran
Njure_2
Plot_10
Rose_Hse
Searite_A
Searite_B
Shamata
Tipsy
Wainaina
Warehouse
Kiamara
PMG
Vaniez
Aden
Apollo
Clanne
Double_Vision
Enn_Gen
Exo
Geo_House
Githima_Plaza
Glory
Grace_Hse
Jamuka
Javim
Joel
Karuguru
Kickas
Kingstone
Last_Kings
Maria_Hse
Meshack
Philotech
Premier
Reality
Royside
Soy_plaza
Sunday
Toez
Trans
Tripple_M
Uptech
Wakaigua
Wamweri
Diaspora
Fresha
Gathfam
Island_Hse
Mawa
Yunika
Amazing_Grace
Bethel_Hse
Beula
Brown_Cave
Charis Apt
Dallas
Darlington
Kagia
Linta_Hse
Maji
Metro
Mwiki_513
Paradise_A
Rijah
Sailours
Samtern_Plaza
Tembo_Hse
Wakanda
Zion_Gate
Alpha
Basement
Billabong
Digitex
Episode
Galaxy
Gituturi
Mumbu
Ndewan
Njoro
Platinum_Hse
Reimoni Heghts
Umeme
Favour
Huddersfield
Mayellow
Nembu
Set_Hse
Solomon_Hse
Sweet_Sweat
Uhadhiri_1
Alchemist
Beraka_1
Bethany
Bethsheba
Boma_A
Boma_B
Cylex_Apt
Divas
Exodus
Faith_1_Apt
Gichuki_A
Gichuki_B
Golden_Beast_A
Green_Leaf
Green_Valley
Itundu_Inv
Joemarg
Junior
K.R.A
Kirina
Kwa_Jane
Liberty
Lucy_Flats
Mwireri
Nahanyanje
Ndovu
Ngure_Inv
Njure_1
Oasis
Palm_Shade
Panel_Hse
Paramount_A
Paramount_B
Passenga
Pethum
Plot_M
Sardonyx_Hights
Smart_Hse
Spalon
Spot
Starbucks
Trizah_Hse
Ubuntu_Palm
Wa_Sherrys_A
Wadaka
Wandu
Angels
Faith_Price
Palupe
Acacia
Ananda
Antony's
Asmar
Beraka_2
Born_Free
Bravo
Castro
Corner_Stone
Elbergon_Plaza
Etihad
G_Trends_Apt
Granada
Grape_A
Horeb
Jamii
Jani
Jersey
Jewela
Jovero
Juba_Fadhilli
Kega
Kipsibo
Kizazi
Lanes
Lavona
Limani
Little_Leaders
Majani
Mega_Hse
Mercury
Miracle_House
Muguga_A
Muguga_B
Mutaratara
Openda_hse
Plastico_A
Plastico_B
Plunet
Qwest
Rays_G
Rose_Angel
SPM
Shamaah_Comfort
Solid_Rock
Steel
Sunrise_House
Swan
Telemark
Tiles_A
Tiles_B
Treviso_Hse
Wa_Karen
Wanga_Court
Witethie_Hse
Zara
Euja
Faith_star
Farm_Hse
Grape_B
Julkar
Juter
Laban_Hse
Matrix
Newark
Nikot_Villa
Solex
Blackin
Centre_B
Charisma
Comfort
Ducks
Githiria
Giwa
Kahigaini
Kanyoni
Kings
Kwetu
Levim
Lozana
Mainland
Majestic_Apt
Marram
Maziwa
Mbogo_Hse
Mesh
Montana
Mukinyi
Mushae_Hse
Mwangis
Njagis
Njiri_Flat
Ochois
Pluto
Sharon_Hse
Sheddy
Shower_House
St._Timothy
The_Boys
Toho_Apt
Token_Hse
Backyard
Homeland
Kings_Palace
Mofasa
Savannah
Abby
Adonai_chief
Adonai_tecno
Amapiano
Autum
Bazuu
Belinda
C.F.F_Foundation
Clerk_1
Comfort_B
Copia
Crusader
Destiny_A
Destiny_B
Eben-ezeri
Elegant
Faisa
General
Githurai_Flats
Glorious_Hse
Heri_Points
Hilltop
Laba_Hse
Levis
Lucia_Flats
Mama_Brian
Mbella
Migos
Mwalimu
Ndungu_Hse
Ocelot
Palace
Seychelles
Shelter_Way
Simon_Hse
Suntex
Thide
Thunder
Tivoli_Towers
Tumaini_Apt
Twinstar
Urban_Apt
Vision_Hse
Walyinga
Yankees
Zess
Wilki
Achika
Cottage_Hse
Executive
Family_Wings
Green_Rock
Kojjo
Mash
Mugambi
Simba
Tetu
Counter
Douglas_B
Nameless
Promise
Riziki
Smart_Care
Whiskeys
Bromley
Dona
George_A
George_B
George_C
Jeepa
Light_Hse
Taarif
Maradona
Nkonge_plaza
Riua
