Trollz
Alex
Black_out
Blessed_Home
Bypass
Courts_Arms
Eunice
Hervey
Jamdown
Jano
Jupiter
Karina
Kingland
Kwa_Kimani
Lone_Tree
Mamba_Village
Migel
Nato
Nazigi Hse
Next_Tony
Obama
Royal_Palace
Silver_Home
Springs
Star_Hse
Stopper_A
Stopper_B
Sydney_Hse
Taveta
Terry's_hse
Thara_A
Thara_B
Tifa
Uncle_Peter
Venus
Wangai_Hse
Zaire
Planet
Akothe
Bazu
Brilliant_Hse
Brookfield
Bulb_Hse
Bungoma
Changaa
Clemo
Cocktail
Eldoret
Essy_Flats
Faith_Hse
Fourways
Gabu
Haba_view
Habiba
Hamadi_[R]
Hekima
Icon
Ivory_Homes
Jobi_Place
Kamu_courts
Kanunga
Kwa_Esther
Kwa_Thairu
Leestar
Lion
Living_Kids
Lost_Hse
Lucy_Palace
Lumax
Manyatta_[R]
Matheri
Melkam
Michuki
Moana
Mombasa
Morgan
Motherland
Mutati
Mwafrika_Hse
Mwireri
Mzalendo
Ndovu
Ngugi
Nxt_Taiyu_[R]
Nzoia
Oceanic
Ogmoha
Outering_flats
Palace_Apt
Phillipines
Premier
RB_Metals
Ramatah
Riara_Flats_[R]
Rufftuff
Sagana
Sam's_Hse
Solapat
Starsoft
Steam_PCEA
Sunset
Teacher
Tocha
Viweso
Wakaro
Wamutathi
Waweru_Hse
Williams
Yego
Ziggy
Agape
Blue_Bright
Bosma_Hse
Bridge_Court
Chelsea
Cosmet
Dama
Dunhill
Faulu
Gathima_Plaza
Gethima_Hse
Givirs
Good_hope
Gucci
Hemlock_Hse
Herman_A
Herman_B
Heshima
Judea
Julima_Hse
Kerosine_Hse_[R]
Kibowen
Kwa_Chege_[R]
Kwa_Mwas
Kwa_Shosh
Lavendah
Lintex
Lynn
Melon
Mina
Muthaiga
Nawal_Center
Paso
Philips
Prime_Hse
Rhodah_Hse
Samido
Saul_Hse
Sema_Hse
Superior
Tailor
Thabibu
Transmark_[R]
Uptown_Heights
Vuma
Wakagiri
Wanjoki_[R]
Waroi
Winice
Wonderland
25_investment
44_Business_Center_[R]
Azam
Bethel_flats
Bethsider
Blue_1_[R]
Charles
Coke_Hse
Consolata_[R]
Cyber_city
DN_Apt
Dan_Chege
David_Mwanzia
Delux
Denno
Edies
Emilio_[R]
Faith_Land
Farmers_Choice_apt
Fashion
Fena
George_Kanana
Grace_salon
Green_Hse
Herod
Holiday
Isaiah
Jasvira_lovebirds
Joy_Hse
Jux_City
Karurumo_[R]
Katiba
Kirathimo
Kwa_Ngare_[R]
Kwale_Hse
Loyalty
Lucinya
Milele_Hosp.
Nams_Hse
Ndema
Neuron_Hse
Next_Brima
Njowa
One_way
Opp_Holiday_[R]
Opp_Penda_[R]
Pamlyn
Penda
Riga
Sam_2
St._Francis_Church
Stedo_[R]
Stepa_Apt_[R]
Thiongo_Hse
Trions
Tuwi
Uju
Uncle_Sam_1
Uncle_Sam_2
Uncle_Sam_3
Wamsan
Wilki
Witu_hse_2
Ya_Mungu
Yaves
Kwa_John
Kwa_Maggy
Kwa_Mwangi
Miujiza
Montana
Murata_2_[R]
Next_Waruiru
Opp_Summercate
Steve_G
Waruiru
Warume_[R]
Allan's_apt
Allan_Acarde
Blackey
Chalo
Desire_[R]
Elgon_[R]
Famous
Fan_Hse_[R]
Glory
Hse_10
Jastoh
Josker
Kairu
Kenda
Kwa_Daniel
Kwa_Guka
Kwa_Job
Kwa_Marto
Kwa_Peter_[R]
Lalida
Linga
Mars
Musyoka
Mwihaki
Next_Mburu
Njiwe_land
PK_Hse
Pavilion
Prestige
Queens_Apt
SG_Apt.
Samwel_Mwaura
Shamah_[R]
Stan_view
Step_Hse
Sunny_arcade
Triple_K
Twins_sis
Uncle_Blue
Graceland
Hope
Horn
Jeida_A
Jeida_B
Korir's
Line_Saba
Mapero
Maurice
Nderi
Timika
Wing_Road
Zelifa
Zola
3_points
Alice_hse_[R]
Annis
Archives
Bliss_[R]
Blue_Ice
Braden
Cape_Town
Clay
Cruz
Daisy
Eagle
Febe
GK
Junction
Juscah
Kabata
Kwa_Evans
Kwa_Robert
Kwa_Rodgers
Lakers
Magnet
Mamboleo
Matumaini
Milele_2_[R]
Mwasia
Next_Pivot
Opp_Yatta
Paul_Hse
Pivot_[R]
Pluto
Red_Rose
Royale
Safina
Sky
Sorento
Utugi
Valee_Hse
Vigtone
Wa_Kamau
Wakaba
Wamanu
Zion
3_Star
Achievers
Almar
Baba_Njeri
Barbers_[R]
Best_Home
Black_Jack
Bobs
Bongo
Buffallo
Catherine
Chief_Hse
Cosy_2
EA_Hse
E_Goat
Elshadai
Endebase
Euless_Homes
Executive_Hse
Future
Gashomo
Gatume
Gena
Good_Samaritan
Green_Hse_2
Gym_Hse
Hot_metals
Jackpot
Jane[JN]
Juda
KK_Building
Kianda_Hse
Kiberiti_Hse
Kijani
Kimsong
Kwa_Jonte
Kwa_Lucy
Kwa_Maasai
Kwa_Mathe
Kwa_Nduma
Kwa_Wachira
Kwa_Wangoi
Lana
Lantana_[R]
Levy
Macharia_Hse
Marky
Mary_Maina
Masibo
Migwa
Moja
Mt.Olive
Mukorinu
Muthika
Mzee_Jack
Nazarene
Next_Bethel
Next_Wisdom
Norville
Oasis
Ogeto_Hse_[R]
Ondeki
Opp_Achievers
Orange_Hse
PN_Plaza
Papa
Pat_Hse
Pato
Patrick_Hse
Real_Hope_[R]
Savanna
Super_Duka
Sweet_berry
Tanker
Tazama
Tele_Homes
Angels
Antonio
Balamwezi
Banana
Baraka
Bermark
Blessings
Blue_Star
Bosma_boom
Chrome
Confidence
Europe
Exodus_G
Genda
Hamtone
Hella_Park
Homeland
Jackline's_Home
Kajamo
Kamwana
Kiguthi
Kilimambogo
Kinangop
Kwa_Mdei
Laroo
Lujo
Lulu_Hse
MCA_Mathenge
Madison
Mama_Victor
Mark
Membly
Naivasha
Netoh_Apt
Njoroge_Stima
Njuguna
Quiver
Rafiki_Hse
Safaricom_Hse
Sisi_kwa_sisi
Smart_Hse
Southampton
Sweerise
Tano_Tano
Theta_3_Hse
Thriller_Hse
Touch_of_Class
Tuktuk
Twins_Apt_A
Twins_Apt_B
Twins_Apt_C
Vestry_Apt
Video_Vision
Will_Chris
Wonderous
Lost_Paradise
Maasai_Market
Pamela
Arizona
Badebune
Basilica
Capital
Corazon
Dental
Diamond
Ezekiel
Famous_1
Geothamo
Kings
Lohan
Maumau
Milky_Way
Millenium_1
Musau
Ndoto_Hse
Nelsan
Philadefia
Pola_Plaza
Recheal
Scanner
Serengeti
Spekta
Tarmac
The_Hood
The_Trend
Tosh
Uwanja
Wachira_Empire
Yellow_Court
Bensuma
Bensuta
Blue_Tone
Boondocks
Brights_Hse
Cosmos
Cousins
Crochet
Embakasi_A
Embakasi_B
Gas_Center
Harambee
Hawada_A
Hawada_B
Heist
Johny_Walker
Josfa_Apt
Jumia
Kiganjo
Kilifi
Kingstone
Kwa_Maji
Kwa_Sarah
Kwa_Steve
Mario
Mila
Mwiki
Ngecha
Notorious_B.I.G_Hse
Nyati
OK_Flats
Our_Lady
Rhino
Sabina
Salama_Hse
Shanghai_Heights
Staflow
Summer
Swahili_Hse
Times_court
Transformer
Xie_Xie_Hse
Zainabu
Aberdare
Ann_Wanjiru_Hse
Blue_Berry_Hse
Blue_Tony
Brainer
Cate_Flats
Flamujo
Flavour
Ghost
Gods_Power
Illuc
Jeytee
Kombozi
Kwa_David
Kwache_[R]
Liam
Mhogo
Mitumbili
Rias
SGR
Sonny
South_Hse
Soweto
String
Tawala
Timer
Emmanuel_Heights
Genesis
Green_Valley_44
Kwa_Kasuku
Magpa
Mothee
Mountain_Apt
Muiro_Hse
Next_Macharia
Teddy
Adeeh
Bullet
Cheese_Hse
Clear_A
Clear_B
Enterprise_hse
Gichaga
Henz
Home_Towers
Indian
Justin
Kasese
Kimanzi
Kwa_Ndegwa
Luke
Main_Man
Marcos
Ministry_Hse
Noah‘s_Ark
Nungari
Orion
Oyugis
Party_Whine
Pike_Hse
Pinkrose
Pola
Reliever
Steta
Wechez
Amber_Hse
Bahati
Bantana
Beauty
Best_One
Canada
Coprol
Davis
Detour
Dola_Hse
Gardens_Hse
Glory_Hse
Homecare
Hytech
Jambo
Kangaro
Kelly_A
Kizito_Hse
MG_Luxury
Majesty
Malawi
Mandera
Model
Muigai
Noman
Nyota
Ong'ayi
Redmi
Riara_Court
Riverside
Tokyo
Walingangana_Hse
Washaron
Whiteland
MT_Kenya
Mathare
Mika
Standard
Sudanese
Chania_Hse
Dreadlock_City
Guna_Plot
Holy_mary
Kijo_Hse
Ngene
Tomcat
Top_gun
Alamsa
Alaska
Asian
Chesum_1
Chesum_3
Cubes
Dandora
Flora
Green_Hill
Jeff_hse
Jojana
Meno_plaza
Mihuti_Estate
Rukagina
Siri
Tusker
Webuye_hse
Sokomawe
Abuja
Afia
Baba_G
BensATM
Chapel
Comedian
Darker
Fransisco
Granny
Havilla_Plaza
Hope_Plaza
Juba
Kantara
Kimuri
Makro
Multidime
Muremi
Mwananchi
Octopizzo
Peel_Hse
Phantom
Riflo
Southernstar
White_Gold
